数据集,模型,参数量(M),Top-1 Acc(%),Top-5 Acc(%),训练轮数,训练时间(h),备注
CIFAR100,NeuronBundleNet,13.16,74.88,91.4,300,3.29,已完成
CIFAR100,ResNet18,11.22,74.02,91.74,300,0.6,已完成
CIFAR100,EfficientNet-B2,7.84,48.44,72.41,300,1.2,已完成
CIFAR100,MobileNetV2-140,4.5,46.65,71.21,300,0.85,已完成
CIFAR100,MobileNetV3-Large,4.33,54.59,79.14,300,0.92,已完成
CIFAR100,DenseNet121,7.06,60.66,82.79,300,1.47,已完成
CIFAR100,GhostNet-130,6.21,56.59,80.83,300,1.17,已完成
